0	20
1	48
2	10
3	101
4	65
5	3
6	10
7	10
8	10
9	57
10	8
11	8
12	41
13	11
14	10
15	83
16	90
17	37
18	2
19	11
20	10
21	2
22	10
23	53
24	3
25	2
26	8
27	10
28	67
29	8
30	10
31	31
32	73
33	10
34	11
35	37
36	141
37	57
38	83
39	10
40	25
41	73
42	9
43	10
44	8
45	32
46	11
47	2
48	8
49	38
50	10
51	20
52	3
53	102
54	10
55	11
56	14
57	12
58	18
59	8
60	39
61	8
62	47
63	12
64	10
65	104
66	8
67	2
68	13
69	5
70	32
71	10
72	8
73	8
74	9
75	73
76	10
77	23
78	18
79	8
80	8
81	57
82	8
83	10
84	0
85	24
86	60
87	31
88	13
89	37
90	11
91	2
92	7
93	6
94	8
95	11
96	10
97	126
98	12
99	20
100	31
101	67
102	77
103	10
104	36
105	0
106	51
107	31
108	10
109	34
110	10
111	39
112	48
113	10
114	47
115	8
116	20
117	6
118	27
119	15
120	8
121	37
122	41
123	11
124	25
125	32
126	10
127	65
128	15
129	23
130	8
131	39
132	44
133	9
134	40
135	24
136	121
137	9
138	8
139	2
140	22
141	13
142	48
143	18
144	77
145	10
146	48
147	20
148	10
149	13
150	47
151	64
152	6
153	104
154	63
155	36
156	10
157	8
158	95
159	10
160	48
161	32
162	130
163	8
164	27
165	8
166	25
167	18
168	37
169	11
170	13
171	48
172	41
173	37
174	8
175	0
176	124
177	13
178	11
179	8
180	34
181	18
182	10
183	9
184	31
185	23
186	8
187	67
188	63
189	18
190	10
191	20
192	10
193	39
194	65
195	8
196	25
197	13
198	2
199	11
200	38
201	8
202	51
203	94
204	10
205	69
206	12
207	8
208	52
209	8
210	37
211	14
212	60
213	2
214	8
215	8
216	20
217	11
218	20
219	10
220	20
221	8
222	20
223	10
224	47
225	91
226	8
227	32
228	8
229	11
230	24
231	74
232	8
233	10
234	10
235	2
236	8
237	37
238	65
239	0
240	8
241	48
242	25
243	120
244	10
245	94
246	13
247	37
248	51
249	39
250	31
251	85
252	10
253	3
254	14
255	73
256	34
257	8
258	10
259	36
260	27
261	76
262	31
263	8
264	11
265	38
266	23
267	12
268	11
269	32
270	13
271	37
272	10
273	20
274	8
275	13
276	8
277	78
278	25
279	101
280	8
281	10
282	37
283	43
284	10
285	121
286	5
287	5
288	39
289	20
290	10
291	64
292	8
293	64
294	32
295	0
296	8
297	78
298	13
299	11
300	13
301	25
302	65
303	38
304	111
305	79
306	8
307	48
308	8
309	90
310	10
311	8
312	74
313	51
314	46
315	10
316	32
317	25
318	10
319	11
320	13
321	11
322	24
323	13
324	92
325	12
326	37
327	8
328	97
329	31
330	30
331	39
332	10
333	32
334	13
335	8
336	19
337	8
338	8
339	0
340	11
341	8
342	51
343	11
344	32
345	7
346	13
347	85
348	12
349	112
350	8
351	106
352	2
353	112
354	32
355	21
356	0
357	6
358	47
359	2
360	32
361	73
362	69
363	97
364	32
365	2
366	13
367	8
368	7
369	18
370	38
371	10
372	162
373	68
374	8
375	77
376	7
