0	9105	1
0	9175	1
1	12101	1
2	9195	1
2	9728	1
2	17900	1
3	23517	1
4	9380	1
5	9616	1
6	13675	1
7	16699	1
8	9070	1
9	37050	1
10	9085	1
11	9085	1
12	16951	1
12	64434	1
13	28745	1
14	9104	1
14	9106	1
14	9675	1
14	13339	1
14	16699	1
14	33057	1
14	40576	1
15	9148	1
15	9433	1
15	9434	1
15	9866	1
15	11466	1
15	42560	1
15	42561	1
16	47886	1
17	9427	1
18	9194	1
18	9727	1
19	9194	1
19	28745	1
19	28751	1
20	16699	1
21	9417	1
22	13675	1
23	9045	1
23	9110	1
23	9887	1
23	11783	1
24	9616	1
25	9417	1
26	9085	1
27	13675	1
28	42789	1
29	9085	1
29	38150	1
30	16699	1
30	30675	1
30	33057	1
31	14148	1
31	18206	1
31	22048	1
32	39859	1
33	9049	1
33	9070	1
33	10315	1
33	13675	1
33	17688	1
33	26856	1
33	26857	1
34	28745	1
35	9224	1
36	16226	1
37	37050	1
38	9433	1
38	9866	1
38	42560	1
38	42561	1
39	9049	1
39	9057	1
39	9066	1
39	9070	1
40	39858	1
40	39866	1
41	9207	1
41	9228	1
41	9398	1
41	39859	1
42	52182	1
43	9049	1
43	9675	1
43	10315	1
43	17688	1
44	9085	1
45	11843	1
46	9057	1
46	9099	1
46	9166	1
47	9057	1
47	9114	1
47	9118	1
47	9296	1
48	38150	1
49	41556	1
50	9070	1
51	17615	1
51	18711	1
51	22049	1
51	37780	1
51	64971	1
52	9616	1
53	42454	1
54	9049	1
54	9070	1
54	33057	1
55	9057	1
55	28745	1
56	43517	1
56	43518	1
57	38151	1
58	9046	1
58	9049	1
58	9057	1
58	9070	1
58	9071	1
58	9118	1
58	9398	1
58	11451	1
58	16700	1
58	19944	1
58	19945	1
58	30673	1
58	30675	1
58	33058	1
58	35504	1
58	37583	1
58	37592	1
58	40565	1
58	42604	1
58	46060	1
59	9085	1
59	38150	1
60	11450	1
61	38150	1
62	30393	1
63	9084	1
64	16699	1
65	9045	1
65	9049	1
65	9058	1
65	9066	1
65	9110	1
65	9119	1
65	9297	1
66	9085	1
67	9194	1
67	9548	1
67	9727	1
68	9398	1
68	10225	1
69	31340	1
70	11843	1
71	13675	1
72	9082	1
72	9085	1
72	38150	1
73	38150	1
74	45751	1
74	52182	1
75	40568	1
76	9104	1
76	9106	1
76	30671	1
77	11844	1
77	41632	1
78	9050	1
78	9549	1
78	16700	1
78	16952	1
78	19943	1
78	19944	1
78	19945	1
78	30675	1
78	33058	1
78	35504	1
78	40565	1
78	42604	1
78	46060	1
79	38150	1
80	9085	1
80	38150	1
81	9194	1
81	37050	1
82	9082	1
82	9085	1
82	38150	1
83	9091	1
83	63878	1
84	41561	1
85	9045	1
85	9110	1
86	20106	1
87	15151	1
87	52489	1
87	52490	1
88	9099	1
88	9398	1
88	10225	1
89	9282	1
90	9166	1
90	9398	1
90	28751	1
91	9057	1
91	9118	1
91	9296	1
92	41101	1
92	41105	1
93	9085	1
93	11148	1
93	63870	1
94	9085	1
94	38150	1
95	9398	1
96	9049	1
96	9118	1
97	9335	1
98	9081	1
99	64971	1
100	12101	1
101	42789	1
102	9175	1
103	9049	1
103	9070	1
104	10866	1
105	9076	1
106	9071	1
107	9249	1
108	10315	1
108	30671	1
109	13676	1
110	9049	1
111	52112	1
112	9119	1
112	9224	1
113	9049	1
113	9104	1
113	9106	1
113	9195	1
113	10315	1
113	13675	1
113	16699	1
113	30394	1
113	30675	1
113	33057	1
114	30393	1
115	9085	1
115	38150	1
116	9675	1
116	64971	1
117	63870	1
118	9428	1
118	11784	1
118	52110	1
119	15134	1
119	39858	1
120	9082	1
120	9085	1
121	9110	1
121	9224	1
121	9427	1
122	9058	1
122	9111	1
122	9118	1
122	9296	1
122	9399	1
122	9417	1
122	9450	1
122	9548	1
122	10817	1
122	16951	1
122	64434	1
122	64453	1
123	9057	1
123	28745	1
124	39858	1
125	9839	1
126	9104	1
126	10315	1
126	13675	1
127	10810	1
128	39858	1
128	39866	1
129	41632	1
130	9082	1
130	9085	1
131	11783	1
132	42202	1
132	42203	1
133	9082	1
133	9085	1
133	39698	1
133	45751	1
